0,-0.499992,0.0745501
0.1,0.620914,0.610017
0.2,2.17165,1.14904
0.3,2.68099,1.68827
0.4,3.39304,2.21252
0.5,3.51427,2.69336
0.6,3.55606,3.09176
0.7,4.17917,3.3646
0.8,3.96451,3.47344
0.9,3.82995,3.39385
1,2.75798,3.12292
1.1,2.29484,2.68314
1.2,1.98547,2.12164
1.3,0.601658,1.5045
1.4,0.116198,0.907249
1.5,0.21075,0.403214
1.6,0.119593,0.0520406
1.7,-0.616143,-0.109499
1.8,-0.156939,-0.0726696
1.9,-0.253787,0.142903
2,0.420447,0.493598
2.1,1.07524,0.919777
2.2,1.37745,1.35565
2.3,2.08504,1.73909
2.4,2.28826,2.01971
2.5,2.14095,2.16385
2.6,1.7366,2.15633
2.7,2.17569,1.99907
2.8,1.66391,1.70761
2.9,1.54103,1.30677
3,1.23738,0.826672
3.1,0.511179,0.299697
3.2,-0.5864,-0.241074
3.3,-1.37156,-0.762474
3.4,-1.18064,-1.23148
3.5,-1.97574,-1.61593
3.6,-1.92061,-1.88637
3.7,-1.89366,-2.01921
3.8,-1.60342,-2.00093
3.9,-2.03562,-1.83228
4,-1.85035,-1.53153
4.1,-0.739737,-1.13534
4.2,-0.598646,-0.696542
4.3,-0.18963,-0.278495
4.4,0.0173786,0.0533331
4.5,-0.362687,0.241331
4.6,0.254534,0.245436
4.7,0.408255,0.0506054
4.8,-0.46263,-0.329555
4.9,-0.703479,-0.853941
5,-0.894799,-1.45988
5.1,-1.78029,-2.07282
5.2,-2.64145,-2.61806
5.3,-3.19412,-3.03212
5.4,-3.61204,-3.27174
5.5,-4.16813,-3.31878
5.6,-4.03033,-3.18017
5.7,-3.59117,-2.88329
5.8,-3.32814,-2.46801
5.9,-3.70588,-1.97738
6,-2.19273,-1.44896
6.1,-1.76265,-0.90907
6.2,-0.809438,-0.370676
