   1.000000000000000,-7136.000000000000000,1157.000000000000000,-20.000000000000000,10.548047441085444
   2.000000000000000,-2218.419795915797749,543.334992966789628,-13.832324978392394,6.465078693200299,1.063240744883055
   3.000000000000000,-703.327829599682104,262.651128266977082,-9.749356230507249,3.787276262879992,1.092421127022265
   4.000000000000000,-228.397886153403988,132.877511846441251,-7.071553800186942,2.068415915635155,1.131077291752184
   5.000000000000000,-76.001036766635934,72.248594697623602,-5.352693452942105,1.016477990963856,1.174543875372569
   6.000000000000000,-25.653653704512966,43.887983285314093,-4.300755528270806,0.431952301147135,1.204583907093822
   7.000000000000000,-8.553069625562095,30.998632959741251,-3.716229838454085,0.156034661918650,1.189829695788507
   8.000000000000000,-2.726235674214282,25.626619685970251,-3.440312199225600,0.049651701246439,1.124537339205731
   9.000000000000000,-0.824948044591615,23.677394025936763,-3.333929238553389,0.014810534026434,1.056459282862232
  10.000000000000000,-0.241987103852210,23.053770164575916,-3.299088071333384,0.004313894989751,1.019677300427704
  11.000000000000000,-0.070127632834392,22.867317961132390,-3.288591432296700,0.001247176236218,1.006049255050675
  12.000000000000000,-0.020244316944755,22.812968502822415,-3.285524713543168,0.000359772348283,1.001778122292426
  13.000000000000000,-0.005837361050069,22.797252148627027,-3.284637309655233,0.000103716881071,1.000515440235386
  14.000000000000000,-0.001682613602146,22.792718160208992,-3.284381254188021,0.000029894461545,1.000148803623577
  15.000000000000000,-0.000484964738920,22.791411055572315,-3.284307431768495,0.000008616062514,1.000042907294010
  16.000000000000000,-0.000139773163705,22.791034304904244,-3.284286153369464,0.000002483248977,1.000012367707703
  17.000000000000000,-0.000040284124516,22.790925719156665,-3.284280020555927,0.000000715697935,1.000003563284365
  18.000000000000000,-0.000011610289684,22.790894423472679,-3.284278253004885,0.000000206271254,1.000001023915737
  19.000000000000000,-0.000003346199966,22.790885403733014,-3.284277743578204,0.000000059449404,1.000000276603051
  20.000000000000000,-0.000000964407644,22.790882804154364,-3.284277596756354,0.000000017133902,1.000000028654895
