0,0.314156,0.628293,0.942391,1.25643,1.5704,1.88426
2,0.0559679,0.0781042,0.142548,0.165537,0.22943,0.253077
4,0.0398479,0.0554204,0.101611,0.117568,0.163635,0.179834
6,0.0326107,0.0453032,0.083189,0.0961353,0.133994,0.147076
8,0.0282743,0.0392566,0.0721414,0.083317,0.116211,0.127477
10,0.0253068,0.0351244,0.0645778,0.074554,0.104033,0.114075
12,0.0231126,0.0320716,0.0589832,0.0680783,0.0950242,0.10417
14,0.0214052,0.0296974,0.054629,0.0630415,0.088012,0.0964656
16,0.0200277,0.0277829,0.0511156,0.0589793,0.0823534,0.0902513
18,0.0188859,0.0261965,0.0482032,0.0556131,0.0776624,0.0851015
20,0.0179195,0.0248541,0.0457378,0.0527644,0.0736913,0.0807432
22,0.0170877,0.023699,0.0436158,0.0503129,0.0702731,0.0769926
24,0.016362,0.0226912,0.0417641,0.0481742,0.0672903,0.0737203
26,0.0157215,0.021802,0.0401299,0.0462869,0.0646577,0.0708327
28,0.0151508,0.0210098,0.0386736,0.0446053,0.0623117,0.0682598
30,0.014638,0.020298,0.0373651,0.0430947,0.0602039,0.0659484
32,0.014174,0.0196541,0.0361811,0.0417278,0.0582964,0.0638569
34,0.0137515,0.0190677,0.0351029,0.0404832,0.0565595,0.0619526
36,0.0133647,0.0185309,0.0341157,0.0393438,0.0549691,0.060209
38,0.0130087,0.0180371,0.0332074,0.0382954,0.0535057,0.0586049
40,0.0126798,0.0175807,0.0323679,0.0373266,0.0521533,0.0571224
42,0.0123746,0.0171573,0.0315891,0.0364278,0.0508985,0.0557471
44,0.0120905,0.016763,0.0308639,0.035591,0.0497302,0.0544666
46,0.0118251,0.0163948,0.0301865,0.0348093,0.0486388,0.0532704
48,0.0115764,0.0160498,0.0295518,0.0340769,0.0476162,0.0521497
50,0.0113427,0.0157257,0.0289555,0.0333889,0.0466555,0.0510969
52,0.0111227,0.0154205,0.0283939,0.032741,0.0457507,0.0501054
54,0.010915,0.0151324,0.0278638,0.0321293,0.0448966,0.0491695
56,0.0107185,0.0148599,0.0273623,0.0315507,0.0440886,0.0482841
58,0.0105323,0.0146015,0.0268869,0.0310023,0.0433227,0.0474449
60,0.0103554,0.0143562,0.0264355,0.0304816,0.0425954,0.046648
62,0.0101872,0.0141229,0.0260061,0.0299862,0.0419036,0.0458899
64,0.0100269,0.0139006,0.0255969,0.0295142,0.0412444,0.0451677
66,0.00987393,0.0136884,0.0252065,0.0290638,0.0406153,0.0444785
68,0.00972776,0.0134857,0.0248334,0.0286334,0.0400142,0.0438199
70,0.0095879,0.0132917,0.0244764,0.0282216,0.039439,0.0431897
72,0.0094539,0.0131059,0.0241344,0.0278271,0.0388879,0.0425859
74,0.00932537,0.0129276,0.0238063,0.0274487,0.0383593,0.0420068
76,0.00920194,0.0127565,0.0234913,0.0270853,0.0378517,0.0414507
78,0.00908328,0.0125919,0.0231884,0.0267359,0.0373637,0.0409161
80,0.0089691,0.0124336,0.0228969,0.0263998,0.0368941,0.0404017
82,0.00885912,0.0122811,0.0226162,0.026076,0.0364418,0.0399062
84,0.00875309,0.012134,0.0223456,0.0257638,0.0360057,0.0394285
86,0.00865078,0.0119922,0.0220844,0.0254626,0.0355849,0.0389675
88,0.00855197,0.0118552,0.0218322,0.0251717,0.0351786,0.0385224
90,0.00845648,0.0117227,0.0215884,0.0248905,0.0347858,0.0380921
92,0.00836411,0.0115946,0.0213526,0.0246186,0.0344059,0.037676
94,0.00827471,0.0114707,0.0211244,0.0243554,0.0340382,0.0372732
96,0.00818811,0.0113506,0.0209034,0.0241005,0.033682,0.0368831
98,0.00810417,0.0112342,0.0206891,0.0238534,0.0333368,0.0365049
100,0.00802277,0.0111213,0.0204813,0.0236137,0.033002,0.0361382
