-2.79321,
-2.3966,-2.2644,
-2.28522,-2.24809,-2.247,
-2.25633,-2.2467,-2.2466,-2.2466,
-2.24903,-2.2466,-2.24659,-2.24659,-2.24659,
-2.2472,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24674,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24663,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.2466,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,-2.24659,
