a,c
-1.99198,0.00050125
-1.98397,0.001001875
-1.97595,0.001503125
-1.96794,0.00200375
-1.95992,0.002505
-1.9519,0.00300625
-1.94389,0.003506875
-1.93587,0.004008125
-1.92786,0.00450875
-1.91984,0.00501
-1.91182,0.00551125
-1.90381,0.006011875
-1.89579,0.006513125
-1.88778,0.00701375
-1.87976,0.007515
-1.87174,0.00801625
-1.86373,0.008516875
-1.85571,0.009018125
-1.8477,0.00951875
-1.83968,0.01002
-1.83166,0.01052125
-1.82365,0.011021875
-1.81563,0.011523125
-1.80762,0.01202375
-1.7996,0.012525
-1.79158,0.01302625
-1.78357,0.013526875
-1.77555,0.014028125
-1.76754,0.01452875
-1.75952,0.01503
-1.7515,0.01553125
-1.74349,0.016031875
-1.73547,0.016533125
-1.72745,0.017034375
-1.71944,0.017535
-1.71142,0.01803625
-1.70341,0.018536875
-1.69539,0.019038125
-1.68737,0.019539375
-1.67936,0.02004
-1.67134,0.02054125
-1.66333,0.021041875
-1.65531,0.021543125
-1.64729,0.022044375
-1.63928,0.022545
-1.63126,0.02304625
-1.62325,0.023546875
-1.61523,0.024048125
-1.60721,0.024549375
-1.5992,0.02505
-1.59118,0.02555125
-1.58317,0.026051875
-1.57515,0.026553125
-1.56713,0.027054375
-1.55912,0.027555
-1.5511,0.02805625
-1.54309,0.028556875
-1.53507,0.029058125
-1.52705,0.029559375
-1.51904,0.03006
-1.51102,0.03056125
-1.50301,0.031061875
-1.49499,0.031563125
-1.48697,0.032064375
-1.47896,0.032565
-1.47094,0.03306625
-1.46293,0.033566875
-1.45491,0.034068125
-1.44689,0.034569375
-1.43888,0.03507
-1.43086,0.03557125
-1.42285,0.036071875
-1.41483,0.036573125
-1.40681,0.037074375
-1.3988,0.037575
-1.39078,0.03807625
-1.38277,0.038576875
-1.37475,0.039078125
-1.36673,0.039579375
-1.35872,0.04008
-1.3507,0.04058125
-1.34269,0.041081875
-1.33467,0.041583125
-1.32665,0.042084375
-1.31864,0.042585
-1.31062,0.04308625
-1.30261,0.043586875
-1.29459,0.044088125
-1.28657,0.044589375
-1.27856,0.04509
-1.27054,0.04559125
-1.26253,0.046091875
-1.25451,0.046593125
-1.24649,0.047094375
-1.23848,0.047595
-1.23046,0.04809625
-1.22244,0.0485975
-1.21443,0.049098125
-1.20641,0.049599375
-1.1984,0.0501
-1.19038,0.05060125
-1.18236,0.0511025
-1.17435,0.051603125
-1.16633,0.052104375
-1.15832,0.052605
-1.1503,0.05310625
-1.14228,0.0536075
-1.13427,0.054108125
-1.12625,0.054609375
-1.11824,0.05511
-1.11022,0.05561125
-1.1022,0.0561125
-1.09419,0.056613125
-1.08617,0.057114375
-1.07816,0.057615
-1.07014,0.05811625
-1.06212,0.0586175
-1.05411,0.059118125
-1.04609,0.059619375
-1.03808,0.06012
-1.03006,0.06062125
-1.02204,0.0611225
-1.01403,0.061623125
-1.00601,0.062124375
-0.997996,0.06262525
-0.98998,0.06312625
-0.981964,0.06362725
-0.973948,0.06412825
-0.965932,0.06462925
-0.957916,0.06513025
-0.9499,0.06563125
-0.941884,0.06613225
-0.933868,0.06663325
-0.925852,0.06713425
-0.917836,0.06763525
-0.90982,0.06813625
-0.901804,0.06863725
-0.893788,0.06913825
-0.885772,0.06963925
-0.877756,0.07014025
-0.869739,0.070641313
-0.861723,0.071142313
-0.853707,0.071643313
-0.845691,0.072144313
-0.837675,0.072645313
-0.829659,0.073146313
-0.821643,0.073647313
-0.813627,0.074148313
-0.805611,0.074649313
-0.797595,0.075150313
-0.789579,0.075651313
-0.781563,0.076152313
-0.773547,0.076653313
-0.765531,0.077154313
-0.757515,0.077655313
-0.749499,0.078156313
-0.741483,0.078657313
-0.733467,0.079158313
-0.725451,0.079659313
-0.717435,0.080160313
-0.709419,0.080661313
-0.701403,0.081162313
-0.693387,0.081663313
-0.685371,0.082164313
-0.677355,0.082665313
-0.669339,0.083166313
-0.661323,0.083667313
-0.653307,0.084168313
-0.645291,0.084669313
-0.637275,0.085170313
-0.629259,0.085671313
-0.621242,0.086172375
-0.613226,0.086673375
-0.60521,0.087174375
-0.597194,0.087675375
-0.589178,0.088176375
-0.581162,0.088677375
-0.573146,0.089178375
-0.56513,0.089679375
-0.557114,0.090180375
-0.549098,0.090681375
-0.541082,0.091182375
-0.533066,0.091683375
-0.52505,0.092184375
-0.517034,0.092685375
-0.509018,0.093186375
-0.501002,0.093687375
-0.492986,0.094163777
-0.48497,0.094576425
-0.476954,0.094924816
-0.468938,0.095208951
-0.460922,0.09542883
-0.452906,0.095584453
-0.44489,0.095675819
-0.436874,0.095702929
-0.428858,0.095665783
-0.420842,0.095564381
-0.412826,0.095398722
-0.40481,0.095168807
-0.396794,0.094874636
-0.388778,0.094516208
-0.380762,0.094093525
-0.372745,0.09360652
-0.364729,0.093055316
-0.356713,0.092439855
-0.348697,0.091760139
-0.340681,0.091016166
-0.332665,0.090207936
-0.324649,0.089335451
-0.316633,0.088398709
-0.308617,0.087397711
-0.300601,0.086332457
-0.292585,0.085202946
-0.284569,0.08400918
-0.276553,0.082751157
-0.268537,0.081428877
-0.260521,0.080042342
-0.252505,0.07859155
-0.244489,0.077076502
-0.236473,0.075497198
-0.228457,0.073853637
-0.220441,0.07214582
-0.212425,0.070373747
-0.204409,0.068537418
-0.196393,0.066636832
-0.188377,0.06467199
-0.180361,0.062642892
-0.172345,0.060549538
-0.164329,0.058391927
-0.156313,0.056170061
-0.148297,0.053883937
-0.140281,0.051533558
-0.132265,0.049118922
-0.124248,0.046639717
-0.116232,0.044096561
-0.108216,0.041489149
-0.1002,0.03881748
-0.0921844,0.036081693
-0.0841683,0.03328148
-0.0761523,0.030417045
-0.0681363,0.027488354
-0.0601202,0.024495368
-0.0521042,0.021438164
-0.0440882,0.018316703
-0.0360721,0.015130946
-0.0280561,0.011880971
-0.0200401,0.008566741
-0.012024,0.005188212
-0.00400802,0.001745477
0.00400802,-0.001745477
0.012024,-0.005188212
0.0200401,-0.008566741
0.0280561,-0.011880971
0.0360721,-0.015130946
0.0440882,-0.018316703
0.0521042,-0.021438164
0.0601202,-0.024495368
0.0681363,-0.027488354
0.0761523,-0.030417045
0.0841683,-0.03328148
0.0921844,-0.036081693
0.1002,-0.03881748
0.108216,-0.041489149
0.116232,-0.044096561
0.124248,-0.046639717
0.132265,-0.049118922
0.140281,-0.051533558
0.148297,-0.053883937
0.156313,-0.056170061
0.164329,-0.058391927
0.172345,-0.060549538
0.180361,-0.062642892
0.188377,-0.06467199
0.196393,-0.066636832
0.204409,-0.068537418
0.212425,-0.070373747
0.220441,-0.07214582
0.228457,-0.073853637
0.236473,-0.075497198
0.244489,-0.077076502
0.252505,-0.07859155
0.260521,-0.080042342
0.268537,-0.081428877
0.276553,-0.082751157
0.284569,-0.08400918
0.292585,-0.085202946
0.300601,-0.086332457
0.308617,-0.087397711
0.316633,-0.088398709
0.324649,-0.089335451
0.332665,-0.090207936
0.340681,-0.091016166
0.348697,-0.091760139
0.356713,-0.092439855
0.364729,-0.093055316
0.372745,-0.09360652
0.380762,-0.094093525
0.388778,-0.094516208
0.396794,-0.094874636
0.40481,-0.095168807
0.412826,-0.095398722
0.420842,-0.095564381
0.428858,-0.095665783
0.436874,-0.095702929
0.44489,-0.095675819
0.452906,-0.095584453
0.460922,-0.09542883
0.468938,-0.095208951
0.476954,-0.094924816
0.48497,-0.094576425
0.492986,-0.094163777
0.501002,-0.093687375
0.509018,-0.093186375
0.517034,-0.092685375
0.52505,-0.092184375
0.533066,-0.091683375
0.541082,-0.091182375
0.549098,-0.090681375
0.557114,-0.090180375
0.56513,-0.089679375
0.573146,-0.089178375
0.581162,-0.088677375
0.589178,-0.088176375
0.597194,-0.087675375
0.60521,-0.087174375
0.613226,-0.086673375
0.621242,-0.086172375
0.629259,-0.085671313
0.637275,-0.085170313
0.645291,-0.084669313
0.653307,-0.084168313
0.661323,-0.083667313
0.669339,-0.083166313
0.677355,-0.082665313
0.685371,-0.082164313
0.693387,-0.081663313
0.701403,-0.081162313
0.709419,-0.080661313
0.717435,-0.080160313
0.725451,-0.079659313
0.733467,-0.079158313
0.741483,-0.078657313
0.749499,-0.078156313
0.757515,-0.077655313
0.765531,-0.077154313
0.773547,-0.076653313
0.781563,-0.076152313
0.789579,-0.075651313
0.797595,-0.075150313
0.805611,-0.074649313
0.813627,-0.074148313
0.821643,-0.073647313
0.829659,-0.073146313
0.837675,-0.072645313
0.845691,-0.072144313
0.853707,-0.071643313
0.861723,-0.071142313
0.869739,-0.070641313
0.877756,-0.07014025
0.885772,-0.06963925
0.893788,-0.06913825
0.901804,-0.06863725
0.90982,-0.06813625
0.917836,-0.06763525
0.925852,-0.06713425
0.933868,-0.06663325
0.941884,-0.06613225
0.9499,-0.06563125
0.957916,-0.06513025
0.965932,-0.06462925
0.973948,-0.06412825
0.981964,-0.06362725
0.98998,-0.06312625
0.997996,-0.06262525
1.00601,-0.062124375
