a,c
1.01403,-0.061623125
1.02204,-0.0611225
1.03006,-0.06062125
1.03808,-0.06012
1.04609,-0.059619375
1.05411,-0.059118125
1.06212,-0.0586175
1.07014,-0.05811625
1.07816,-0.057615
1.08617,-0.057114375
1.09419,-0.056613125
1.1022,-0.0561125
1.11022,-0.05561125
1.11824,-0.05511
1.12625,-0.054609375
1.13427,-0.054108125
1.14228,-0.0536075
1.1503,-0.05310625
1.15832,-0.052605
1.16633,-0.052104375
1.17435,-0.051603125
1.18236,-0.0511025
1.19038,-0.05060125
1.1984,-0.0501
1.20641,-0.049599375
1.21443,-0.049098125
1.22244,-0.0485975
1.23046,-0.04809625
1.23848,-0.047595
1.24649,-0.047094375
1.25451,-0.046593125
1.26253,-0.046091875
1.27054,-0.04559125
1.27856,-0.04509
1.28657,-0.044589375
1.29459,-0.044088125
1.30261,-0.043586875
1.31062,-0.04308625
1.31864,-0.042585
1.32665,-0.042084375
1.33467,-0.041583125
1.34269,-0.041081875
1.3507,-0.04058125
1.35872,-0.04008
1.36673,-0.039579375
1.37475,-0.039078125
1.38277,-0.038576875
1.39078,-0.03807625
1.3988,-0.037575
1.40681,-0.037074375
1.41483,-0.036573125
1.42285,-0.036071875
1.43086,-0.03557125
1.43888,-0.03507
1.44689,-0.034569375
1.45491,-0.034068125
1.46293,-0.033566875
1.47094,-0.03306625
1.47896,-0.032565
1.48697,-0.032064375
1.49499,-0.031563125
1.50301,-0.031061875
1.51102,-0.03056125
1.51904,-0.03006
1.52705,-0.029559375
1.53507,-0.029058125
1.54309,-0.028556875
1.5511,-0.02805625
1.55912,-0.027555
1.56713,-0.027054375
1.57515,-0.026553125
1.58317,-0.026051875
1.59118,-0.02555125
1.5992,-0.02505
1.60721,-0.024549375
1.61523,-0.024048125
1.62325,-0.023546875
1.63126,-0.02304625
1.63928,-0.022545
1.64729,-0.022044375
1.65531,-0.021543125
1.66333,-0.021041875
1.67134,-0.02054125
1.67936,-0.02004
1.68737,-0.019539375
1.69539,-0.019038125
1.70341,-0.018536875
1.71142,-0.01803625
1.71944,-0.017535
1.72745,-0.017034375
1.73547,-0.016533125
1.74349,-0.016031875
1.7515,-0.01553125
1.75952,-0.01503
1.76754,-0.01452875
1.77555,-0.014028125
1.78357,-0.013526875
1.79158,-0.01302625
1.7996,-0.012525
1.80762,-0.01202375
1.81563,-0.011523125
1.82365,-0.011021875
1.83166,-0.01052125
1.83968,-0.01002
1.8477,-0.00951875
1.85571,-0.009018125
1.86373,-0.008516875
1.87174,-0.00801625
1.87976,-0.007515
1.88778,-0.00701375
1.89579,-0.006513125
1.90381,-0.006011875
1.91182,-0.00551125
1.91984,-0.00501
1.92786,-0.00450875
1.93587,-0.004008125
1.94389,-0.003506875
1.9519,-0.00300625
1.95992,-0.002505
1.96794,-0.00200375
1.97595,-0.001503125
1.98397,-0.001001875
1.99198,-0.00050125
2,0
2.00802,0.00050125
