-5,0.0167338
-4.9,0.00629962
-4.8,-0.00240391
-4.7,-0.00946987
-4.6,-0.0149894
-4.5,-0.0190517
-4.4,-0.0217441
-4.3,-0.0231519
-4.2,-0.0233586
-4.1,-0.0224458
-4,-0.0204931
-3.9,-0.0175781
-3.8,-0.0137767
-3.7,-0.00916267
-3.6,-0.00380802
-3.5,0.00221722
-3.4,0.00884497
-3.3,0.016009
-3.2,0.0236451
-3.1,0.0316909
-3,0.0400859
-2.9,0.0487717
-2.8,0.0576916
-2.7,0.0667909
-2.6,0.0760169
-2.5,0.0853188
-2.4,0.0946476
-2.3,0.103956
-2.2,0.1132
-2.1,0.122335
-2,0.131321
-1.9,0.140118
-1.8,0.148688
-1.7,0.156997
-1.6,0.16501
-1.5,0.172696
-1.4,0.180025
-1.3,0.18697
-1.2,0.193504
-1.1,0.199604
-1,0.205247
-0.9,0.210414
-0.8,0.215086
-0.7,0.219246
-0.6,0.222881
-0.5,0.225977
-0.4,0.228525
-0.3,0.230516
-0.2,0.231943
-0.1,0.232801
0,0.233087
0.1,0.232801
0.2,0.231943
0.3,0.230516
0.4,0.228525
0.5,0.225977
0.6,0.222881
0.7,0.219246
0.8,0.215086
0.9,0.210414
1,0.205247
1.1,0.199604
1.2,0.193504
1.3,0.18697
1.4,0.180025
1.5,0.172696
1.6,0.16501
1.7,0.156997
1.8,0.148688
1.9,0.140118
2,0.131321
2.1,0.122335
2.2,0.1132
2.3,0.103956
2.4,0.0946476
2.5,0.0853188
2.6,0.0760169
2.7,0.0667909
2.8,0.0576916
2.9,0.0487717
3,0.0400859
3.1,0.0316909
3.2,0.0236451
3.3,0.016009
3.4,0.00884497
3.5,0.00221722
3.6,-0.00380802
3.7,-0.00916267
3.8,-0.0137767
3.9,-0.0175781
4,-0.0204931
4.1,-0.0224458
4.2,-0.0233586
4.3,-0.0231519
4.4,-0.0217441
4.5,-0.0190517
4.6,-0.0149894
4.7,-0.00946987
4.8,-0.00240391
4.9,0.00629962
5,0.0167338
